id,mvs_no,game,year,maker,mame_set,prog,cha,also_documented,notes,confidence,sources
0001,NGM-001,NAM 1975,1990,SNK,nam1975,PROG-NAM,CHA-32,,,high,M K J
0002,NGM-002,Baseball Stars Professional,1990,SNK,bstars,PROG-EP,CHA-32,,,high,M K J
0003,NGM-003,Top Player's Golf,1990,SNK,tpgolf,PROG-EP,CHA-32,,,high,M K J
0004,NGM-004,Mahjong Kyo Retsuden,1990,SNK,mahretsu,PROG-EP,CHA-32,,,high,M K J
0005,NGM-005,Magician Lord,1990,Alpha Denshi Co.,maglord,PROG-EP,CHA-32,,,high,M K J
0006,NGM-006,Riding Hero,1990,SNK,ridhero,PROG-HERO,CHA-32,,,high,M K J
0007,NGM-007,Alpha Mission 2,1991,SNK,alpham2,PROG42G,CHA42G,,,high,M K J
0009,NGM-009,Ninja Combat,1990,Alpha Denshi Co.,ncombat,PROG-EP,CHA-32,,,high,M K J
0010,NGM-010,Cyber-Lip,1990,SNK,cyberlip,PROG-EP,CHA-32,,,high,M K J
0011,NGM-011,"Super Spy, The",1990,SNK,superspy,PROG-8MB,CHA-8M,,,high,M K J
0014,NGM-014,Mutation Nation,1992,SNK,mutnat,PROG42G-1,CHA42G-1,,,high,M K J
0016,NGM-016,King of the Monsters,1991,SNK,kotm,PROG42G-1,CHA42G-1,PROG42G + CHA42G (M),,high,M K J
0017,NGM-017,Sengoku,1991,SNK,sengoku,PROG42G,CHA42G,,,high,M K J
0018,NGM-018,Burning Fight,1991,SNK,burningf,PROG42G,CHA42G,PROG42G-1 + CHA42G-1 (M; MAME lists this as the standard pair),Sources disagree: Mike/JNX give PROG42G + CHA42G; MAME gives 42G-1 as standard and mentions 42G only for boards seen 'manually patched up with wires and resistors',medium,M K J
0019,NGM-019,League Bowling,1990,SNK,lbowling,PROG-HERO,CHA-32,,,high,M K J
0020,NGM-020,Ghost Pilots,1991,SNK,gpilots,PROG8M42,CHA-8M,,,high,M K J
0021,NGM-021,Puzzled,1990,SNK,joyjoy,PROG-EP,CHA-32,,,high,M K J
0022,ALM-001,Blue's Journey,1990,Alpha Denshi Co.,bjourney,PROG8M42,CHA-8M,,,high,M K J
0023,NGM-023,Quiz Daisousa Sen,1991,SNK,quizdais,PROG42G,CHA42G,PROGTOP + CHA256 (M; Korean release),,high,M K J
0024,NGM-024,Last Resort,1992,SNK,lresort,PROG42G-1,CHA42G-1,PROG-EP + CHA-EPG (M; prototype); PROG42G-1 + CHA 42G-2 (K),,high,M K J
0025,NGM-025,Eight Man,1991,SNK / Pallas,eightman,PROG42G-1,CHA42G-1,,,high,M K J
0027,MOM-001,Minnasan no Okagesamadesu,1990,Monolith Corp.,minasan,PROG-8MB,CHA-8M,,,high,M K J
0029,??M-029,Legend of Success Joe,1991,SNK / Wave,legendos,PROG42G-1,CHA42G-1,,,high,M K J
0030,NGM-030,Super Baseball 2020,1991,SNK / Pallas,2020bb,PROG42G-1,CHA42G-1,,,high,M K J
0031,NGM-031,Soccer Brawl,1991,SNK,socbrawl,PROG42G-1,CHA42G-1,,,high,M K J
0032,NGM-032,Robo Army,1991,SNK,roboarmy,PROG42G-1,CHA42G-1,PROG42G-COM + CHA42G-1 (M),,high,M K J
0033,NGM-033,Fatal Fury,1991,SNK,fatfury1,PROG42G-1,CHA42G-1,,,high,M K J
0034,NGM-034,Football Frenzy,1992,SNK,fbfrenzy,PROG42G-1,CHA42G-1,,,high,M K J
0036,MOM-002,Bakatonosama Mahjong Manyuki,1991,Monolith Corp.,bakatono,PROG42G-COM,CHA42G-1,PROG42G-1 + CHA42G-1 (M),,high,M K J
0037,ALM-002,Crossed Swords,1991,Alpha Denshi Co.,crsword,PROG42G-1,CHA42G-1,,,high,M K J
0038,ALM-003,Thrash Rally,1991,Alpha Denshi Co.,trally,PROG42G-COM,CHA42G-1,,,high,M K J
0039,NGM-039,King of the Monsters 2,1992,SNK,kotm2,PROG16,CHA42G-1,,,high,M K J
0040,NGM-040,Sengoku 2,1993,SNK,sengoku2,PROG 4096,CHA 42G-2,,,high,M K J
0041,NGM-041,Baseball Stars 2,1992,SNK,bstars2,PROG42G-1,CHA42G-1,,,high,M K J
0042,NGM-042,Quiz Meitantei Neo & Geo,1992,SNK,quizdai2,PROG42G-1,CHA42G-1,,,high,M K J
0043,NGM-043,3 Count Bout,1993,SNK,3countb,PROG 4096,CHA 42G-2,PROG-G2 + CHA 42G-2 (M),,high,M K J
0044,NGM-044,Art of Fighting,1992,SNK,aof,PROG 4096,CHA42G-1,PROG16 + CHA42G-1 (M),,high,M K J
0045,NGM-045,Samurai Shodown,1993,SNK,samsho,PROGGSC,CHA 42G-3,,,high,M K J
0046,NGM-046,Top Hunter,1994,SNK,tophuntr,PROGTOP,CHA256B,,,high,M K J
0047,NGM-047,Fatal Fury 2,1992,SNK,fatfury2,PROG-G2,CHA42G-1,PROG-G2 + CHA 42G-2 (M),SNK-9201,high,M K J
0048,??M-048,Quest of Jong Master,1994,Aicom,janshin,PROGGSC,CHA256,,,high,M K J
0049,NGM-049,Andro Dunos,1992,Visco,androdun,PROG16,CHA42G-1,,,high,M K J
0050,ALM-004,Ninja Commando,1992,Alpha Denshi Co.,ncommand,PROG42G-1,CHA42G-1,,,high,M K J
0051,AIM-051,Viewpoint,1992,Sammy / Aicom,viewpoin,PROG-G2,CHA42G-1,PROG 4096 + CHA 42G-2 (M),,high,M K J
0052,NGM-052,Super Sidekicks,1992,SNK,ssideki,PROG-G2,CHA 42G-2,,SNK-9201,high,M K J
0053,ALM-005,World Heroes,1992,Alpha Denshi Co.,wh1,PROG16,CHA42G-1,,,high,M K J
0055,NGM-055,King of Fighters '94,1994,SNK,kof94,PROGTOP,CHA256,PROGTOP + CHA256B (M),,high,M K J
0056,NGM-056,Art of Fighting 2,1994,SNK,aof2,PROGGSC,CHA256,,,high,M K J
0057,ALM-006,World Heroes 2,1993,ADK,wh2,PROG 4096 B,CHA 42G-3,,,high,M K J
0058,NGM-058,Fatal Fury Special,1993,SNK,fatfursp,PROGGSC,CHA42G-3B,PROGGSC + CHA 42G-3 (M),,high,M K J
0059,NGM-059,Savage Reign,1995,SNK,savagere,PROG 4096 B,CHA 42G-3,PROGTOP + CHA256 (M),,high,M K J
0060,??M-060,Fight Fever,1994,Viccom,fightfev,PROGGSC,CHA256B,,,high,M K J
0061,NGM-061,Super Sidekicks 2,1994,SNK,ssideki2,PROGTOP,CHA256,PROGGSC + CHA256 (M); PROGGSC + CHA256B (M); PROG 4096 B + CHA256 (M),,high,M K J
0062,DEM-001,Spinmaster,1993,Data East Corporation,spinmast,PROGGSC,CHA256,,,high,M K J
0063,NGM-063,Samurai Shodown 2,1994,SNK,samsho2,PROGTOP,CHA256,,,high,M K J
0064,ADM-007,World Heroes 2 Jet,1994,ADK / SNK,wh2j,PROGGSC,CHA256,,,high,M K J
0065,DEM-002,Windjammers,1994,Data East Corporation,wjammers,PROG42G-1,CHA42G-1,,,high,M K J
0066,DEM-003,Karnov's Revenge,1994,Data East Corporation,karnovr,PROGGSC,CHA256,,,high,M K J
0067,??M-067,Gururin,1994,Face,gururin,PROG16,CHA256,PROG16 + CHA256B (M),,high,M K J
0068,NGM-068,Power Spikes 2,1994,Video System Co.,pspikes2,PROGTOP,CHA256,,,high,M K J
0069,NGM-069,Fatal Fury 3,1995,SNK,fatfury3,PROGBK1,CHA256,,,high,M K J
0070,??M-070,Zupapa!,2001,SNK,zupapa,PROGBK1,CHAFIO,,date 1999.6.14; CMC 7042,high,M K J
0073,??M-073,Panic Bomber,1994,Eighting / Hudson Soft,panicbom,PROGTOP,CHA256,,,high,M K J
0074,ADM-008,Aggressors of Dark Kombat,1994,ADK / SNK,aodk,PROGTOP,CHA256B,,,high,M K J
0075,NGM-075,Aero Fighters 2,1994,Video System Co.,sonicwi2,PROGGSC,CHA256,,,high,M K J
0076,??M-076,Zed Blade,1994,NMK,zedblade,PROGGSC,CHA256,,,high,M K J
0078,NGM-078,Galaxy Fight: Universal Warriors,1995,Sunsoft,galaxyfg,PROGTOP,CHA256,,,high,M K J
0079,DEM-004,Street Hoop,1994,Data East Corporation,strhoop,PROGGSC,CHA256,,,high,M K J
0080,SAM-080,Quiz King of Fighters,1995,Saurus (SNK license),quizkof,PROGGSC,CHA256,PROGTOP + CHA256 (M; Korean release),,high,M K J
0081,NGM-081,Super Sidekicks 3 : The Next Glory,1995,SNK,ssideki3,PROGTOP,CHA42G-3B,PROGTOP + CHA256 (M); PROG 4096 B + CHA 42G-3 (M); PROGBK1 + CHA256B (M),,high,M K J
0082,NGM-082,Double Dragon,1995,Technos Japan,doubledr,PROGTOP,CHA256,PROGTOP + CHA 42G-3 (M); PROGBK1 + CHA256 (M); PROGTOP + CHA256B (M); PROG 4096 B + CHA 42G-3 (M); PROGGSC + CHA42G-3B (M),,high,M K J
